      Date        |         arcmap       |        arcpro        |     arcgis_online   |        qgis          |        postgis       |        postgre       |        portal        |      story maps      |      collector       |       survey123      |    web_application   |      enterprise     |        erdas         |    remote_sensing    |        python       |         sql         |    javascript_api    |        html          |       search_term     |
02/25/21 06:00:42 |          3           |          2           |          11         |          0           |          0           |          3           |          16         |          6           |          13         |          5           |          5           |          37         |          0           |          0           |          21         |          26         |          9           |          15         |       developer       |
02/26/21 06:00:01 |          3           |          11         |          8           |          1           |          0           |          0           |          8           |          0           |          5           |          3           |          1           |          11         |          0           |          0           |          7           |          4           |          0           |          0           |       technician      |
02/26/21 06:00:15 |          4           |          3           |          13         |          6           |          0           |          3           |          5           |          1           |          6           |          4           |          1           |          23         |          0           |          4           |          22         |          17         |          0           |          2           |       specialist      |
02/26/21 06:00:31 |          4           |          3           |          8           |          6           |          1           |          5           |          5           |          1           |          4           |          3           |          1           |          9           |          0           |          4           |          15         |          14         |          0           |          1           |        analyst        |
02/26/21 06:00:45 |          5           |          1           |          11         |          1           |          1           |          8           |          15         |          0           |          4           |          2           |          9           |          25         |          0           |          1           |          24         |          32         |          8           |          11         |       developer       |
02/27/21 06:00:02 |          3           |          5           |          9           |          1           |          0           |          0           |          3           |          0           |          5           |          3           |          1           |          7           |          0           |          0           |          9           |          8           |          0           |          0           |       technician      |
02/27/21 06:00:22 |          7           |          1           |          11         |          6           |          0           |          3           |          4           |          1           |          6           |          3           |          0           |          26         |          0           |          4           |          26         |          22         |          0           |          1           |       specialist      |
02/27/21 06:00:37 |          4           |          2           |          11         |          1           |          1           |          2           |          2           |          1           |          5           |          4           |          1           |          10         |          0           |          0           |          15         |          14         |          0           |          0           |        analyst        |
02/27/21 06:00:50 |          1           |          0           |          13         |          1           |          0           |          6           |          15         |          3           |          4           |          0           |          10         |          26         |          0           |          0           |          39         |          26         |          6           |          8           |       developer       |
02/28/21 06:00:01 |          3           |          6           |          6           |          1           |          0           |          0           |          4           |          0           |          1           |          0           |          1           |          6           |          0           |          0           |          7           |          2           |          0           |          0           |       technician      |
02/28/21 06:00:15 |          3           |          2           |          12         |          6           |          0           |          3           |          5           |          1           |          6           |          4           |          1           |          13         |          0           |          5           |          26         |          24         |          0           |          2           |       specialist      |
02/28/21 06:00:29 |          6           |          1           |          11         |          1           |          2           |          2           |          3           |          0           |          5           |          3           |          1           |          11         |          0           |          0           |          16         |          15         |          0           |          1           |        analyst        |
02/28/21 06:00:41 |          4           |          1           |          15         |          2           |          2           |          4           |          11         |          3           |          7           |          3           |          7           |          22         |          0           |          1           |          17         |          23         |          3           |          3           |       developer       |
03/01/21 06:00:02 |          4           |          5           |          7           |          1           |          0           |          0           |          3           |          0           |          4           |          3           |          1           |          8           |          0           |          1           |          8           |          8           |          0           |          0           |       technician      |
03/01/21 06:00:17 |          3           |          2           |          12         |          6           |          0           |          3           |          5           |          1           |          6           |          4           |          1           |          9           |          0           |          5           |          25         |          21         |          0           |          2           |       specialist      |
03/01/21 06:00:32 |          5           |          2           |          13         |          1           |          2           |          2           |          2           |          1           |          7           |          5           |          1           |          10         |          0           |          1           |          18         |          14         |          0           |          1           |        analyst        |
03/01/21 06:00:45 |          4           |          1           |          16         |          2           |          2           |          6           |          12         |          0           |          4           |          3           |          9           |          25         |          0           |          1           |          19         |          32         |          3           |          3           |       developer       |
03/02/21 06:00:02 |          5           |          5           |          6           |          1           |          0           |          0           |          3           |          0           |          4           |          3           |          1           |          5           |          0           |          1           |          9           |          8           |          0           |          0           |       technician      |
03/02/21 06:00:18 |          4           |          2           |          12         |          6           |          0           |          3           |          5           |          1           |          6           |          4           |          1           |          11         |          0           |          5           |          23         |          23         |          0           |          2           |       specialist      |
03/02/21 06:00:32 |          3           |          2           |          12         |          1           |          2           |          2           |          2           |          0           |          8           |          5           |          1           |          17         |          0           |          1           |          21         |          17         |          0           |          0           |        analyst        |
03/02/21 06:00:48 |          2           |          0           |          13         |          2           |          1           |          5           |          15         |          3           |          5           |          1           |          8           |          29         |          0           |          1           |          41         |          30         |          5           |          7           |       developer       |
03/03/21 06:00:10 |          4           |          10         |          9           |          4           |          0           |          0           |          7           |          0           |          5           |          4           |          1           |          9           |          0           |          1           |          13         |          4           |          0           |          0           |       technician      |
03/03/21 06:00:26 |          4           |          2           |          10         |          10         |          0           |          3           |          5           |          1           |          6           |          5           |          1           |          7           |          1           |          5           |          23         |          20         |          0           |          1           |       specialist      |
03/03/21 06:00:41 |          4           |          2           |          11         |          5           |          2           |          2           |          2           |          0           |          8           |          6           |          1           |          12         |          1           |          1           |          20         |          17         |          0           |          0           |        analyst        |
03/03/21 06:00:55 |          5           |          1           |          16         |          3           |          1           |          5           |          10         |          0           |          6           |          5           |          6           |          22         |          1           |          1           |          20         |          30         |          3           |          2           |       developer       |
03/04/21 06:00:02 |          2           |          6           |          3           |          4           |          0           |          0           |          4           |          0           |          1           |          0           |          0           |          7           |          0           |          0           |          7           |          4           |          0           |          0           |       technician      |
03/04/21 06:00:18 |          4           |          2           |          11         |          9           |          0           |          3           |          4           |          1           |          5           |          4           |          1           |          19         |          1           |          3           |          30         |          22         |          0           |          0           |       specialist      |
03/04/21 06:00:33 |          4           |          1           |          7           |          5           |          1           |          2           |          2           |          0           |          5           |          7           |          1           |          10         |          1           |          1           |          14         |          12         |          0           |          0           |        analyst        |
03/04/21 06:00:47 |          5           |          2           |          17         |          3           |          1           |          6           |          12         |          0           |          4           |          3           |          7           |          25         |          1           |          1           |          28         |          32         |          4           |          4           |       developer       |
03/05/21 06:00:02 |          5           |          1           |          4           |          10         |          0           |          3           |          2           |          0           |          1           |          0           |          0           |          2           |          0           |          3           |          12         |          7           |          0           |          0           |       technician      |
03/05/21 06:00:20 |          4           |          3           |          8           |          10         |          0           |          3           |          4           |          1           |          3           |          1           |          2           |          17         |          1           |          3           |          26         |          19         |          0           |          2           |       specialist      |
03/05/21 06:00:36 |          3           |          1           |          5           |          10         |          1           |          5           |          5           |          0           |          2           |          4           |          4           |          10         |          1           |          4           |          20         |          22         |          0           |          4           |        analyst        |
03/05/21 06:00:53 |          1           |          1           |          12         |          1           |          2           |          4           |          14         |          2           |          5           |          0           |          9           |          30         |          0           |          0           |          26         |          30         |          11         |          12         |       developer       |
03/06/21 06:00:01 |          5           |          1           |          5           |          10         |          0           |          3           |          2           |          0           |          1           |          0           |          0           |          5           |          0           |          4           |          13         |          7           |          0           |          0           |       technician      |
03/06/21 06:00:16 |          6           |          4           |          7           |          7           |          0           |          5           |          7           |          1           |          4           |          1           |          2           |          24         |          0           |          4           |          26         |          23         |          0           |          0           |       specialist      |
03/06/21 06:00:30 |          5           |          0           |          6           |          7           |          2           |          5           |          3           |          0           |          1           |          1           |          0           |          10         |          1           |          4           |          20         |          17         |          0           |          1           |        analyst        |
03/06/21 06:00:44 |          4           |          1           |          13         |          3           |          2           |          7           |          13         |          3           |          4           |          0           |          8           |          32         |          1           |          0           |          29         |          29         |          7           |          5           |       developer       |
03/07/21 06:00:02 |          5           |          1           |          4           |          5           |          0           |          0           |          0           |          0           |          1           |          0           |          0           |          3           |          0           |          0           |          6           |          4           |          0           |          0           |       technician      |
03/07/21 06:00:17 |          3           |          2           |          8           |          6           |          0           |          5           |          5           |          1           |          3           |          2           |          2           |          18         |          0           |          5           |          25         |          23         |          0           |          0           |       specialist      |
03/07/21 06:00:31 |          6           |          1           |          10         |          11         |          1           |          5           |          3           |          0           |          4           |          5           |          0           |          12         |          1           |          5           |          19         |          13         |          0           |          0           |        analyst        |
03/07/21 06:00:46 |          5           |          1           |          13         |          3           |          1           |          6           |          10         |          0           |          1           |          0           |          6           |          21         |          1           |          1           |          19         |          24         |          1           |          1           |       developer       |
